product_id,branch_id,last_movement_date,total_movements,total_movement_quantity,days_since_last_movement,aging_category,current_stock,reorder_level,safety_stock,max_stock,product_name,category,criticality_level,unit_cost,inventory_value,aging_risk
P001,AHM001,2025-01-27,1292,119574,1,0-30 Days,106714,77,53,455,Hydraulic Pump HP-300,Hydraulic,High,18950,2022230300,Normal
P001,CHN001,2025-01-16,1426,115642,12,0-30 Days,99373,62,44,311,Hydraulic Pump HP-300,Hydraulic,High,18950,1883118350,Normal
P001,DEL001,2025-01-19,1311,127590,9,0-30 Days,115928,59,46,340,Hydraulic Pump HP-300,Hydraulic,High,18950,2196835600,Normal
P001,HYD001,2025-01-27,1220,119082,1,0-30 Days,108772,71,65,417,Hydraulic Pump HP-300,Hydraulic,High,18950,2061229400,Normal
P001,KOL001,2025-01-18,1372,118273,10,0-30 Days,103808,94,58,475,Hydraulic Pump HP-300,Hydraulic,High,18950,1967161600,Normal
P001,PUN001,2025-01-18,1273,119877,10,0-30 Days,109389,70,43,349,Hydraulic Pump HP-300,Hydraulic,High,18950,2072921550,Normal
P002,AHM001,2025-01-18,1358,123491,10,0-30 Days,110279,36,27,179,Engine Oil Filter OF-90,Filters,Medium,450,49625550,Normal
P002,CHN001,2025-01-20,1462,121475,8,0-30 Days,105885,102,76,465,Engine Oil Filter OF-90,Filters,Medium,450,47648250,Normal
P002,DEL001,2025-01-17,1269,120032,11,0-30 Days,108628,57,35,261,Engine Oil Filter OF-90,Filters,Medium,450,48882600,Normal
P002,HYD001,2025-01-12,1244,131060,16,0-30 Days,121013,78,64,383,Engine Oil Filter OF-90,Filters,Medium,450,54455850,Normal
P002,KOL001,2025-01-18,1389,122018,10,0-30 Days,107584,105,73,511,Engine Oil Filter OF-90,Filters,Medium,450,48412800,Normal
P002,PUN001,2025-01-18,1206,112650,10,0-30 Days,101623,41,27,180,Engine Oil Filter OF-90,Filters,Medium,450,45730350,Normal
P003,AHM001,2025-01-18,1353,116145,10,0-30 Days,102501,82,48,475,Air Filter AF-120,Filters,Medium,820,84050820,Normal
P003,CHN001,2025-01-16,1506,123647,12,0-30 Days,107840,62,39,365,Air Filter AF-120,Filters,Medium,820,88428800,Normal
P003,DEL001,2025-01-17,1239,116295,11,0-30 Days,104884,44,31,190,Air Filter AF-120,Filters,Medium,820,86004880,Normal
P003,HYD001,2025-01-15,1192,116324,13,0-30 Days,106658,95,72,422,Air Filter AF-120,Filters,Medium,820,87459560,Normal
