product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level_product,safety_stock_product,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date,branch_name,city,state,region,warehouse_type,warehouse_capacity,service_center_available,manager_id,total_employees,avg_monthly_revenue,monthly_operational_cost,market_demand_index,inventory_value,stock_status
P001,DEL001,196,59,46,340,115928,C15,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,15/03/2019,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,2196835600,Overstock
P001,PUN001,198,70,43,349,109389,D16,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,15/03/2019,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,2072921550,Overstock
P001,CHN001,187,62,44,311,99373,A11,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,15/03/2019,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,1883118350,Overstock
P001,HYD001,226,71,65,417,108772,A10,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,15/03/2019,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,2061229400,Overstock
P001,KOL001,263,94,58,475,103808,F03,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,15/03/2019,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,1967161600,Overstock
P001,AHM001,236,77,53,455,106714,C20,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,15/03/2019,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,2022230300,Overstock
P002,DEL001,166,57,35,261,108628,A06,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,22/07/2019,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,48882600,Overstock
P002,PUN001,113,41,27,180,101623,E01,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,22/07/2019,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,45730350,Overstock
P002,CHN001,267,102,76,465,105885,B04,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,22/07/2019,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,47648250,Overstock
P002,HYD001,219,78,64,383,121013,A02,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,22/07/2019,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,54455850,Overstock
P002,KOL001,288,105,73,511,107584,F18,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,22/07/2019,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,48412800,Overstock
P002,AHM001,102,36,27,179,110279,E04,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,22/07/2019,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,49625550,Overstock
P003,DEL001,113,44,31,190,104884,B07,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,10/01/2020,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,86004880,Overstock
P003,PUN001,218,72,44,359,118139,F09,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,10/01/2020,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,96873980,Overstock
P003,CHN001,191,62,39,365,107840,C09,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,10/01/2020,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,88428800,Overstock
P003,HYD001,272,95,72,422,106658,E12,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,10/01/2020,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,87459560,Overstock
P003,KOL001,234,80,52,386,110093,D02,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,10/01/2020,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,90276260,Overstock
P003,AHM001,238,82,48,475,102501,C06,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,10/01/2020,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,84050820,Overstock
P004,DEL001,172,57,35,267,110145,A14,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,18/06/2020,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,3579712500,Overstock
P004,PUN001,171,55,37,265,104859,E16,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,18/06/2020,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,3407917500,Overstock
P004,CHN001,171,58,41,339,103984,A15,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,18/06/2020,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,3379480000,Overstock
P004,HYD001,193,62,49,363,109943,D18,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,18/06/2020,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,3573147500,Overstock
P004,KOL001,115,44,33,187,110042,B06,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,18/06/2020,Kolkata East Depot,Kolkata,West Bengal,East,Branch,29880 sqft,No,5981,49,2894770,1743000,6,3576365000,Overstock
P004,AHM001,273,104,77,430,99909,C08,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,18/06/2020,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,34120 sqft,Yes,4772,63,3245890,2018000,7,3247042500,Overstock
P005,DEL001,242,94,63,463,110862,E03,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,05/11/2020,Delhi Central,Delhi,Delhi,North,Central,45230 sqft,Yes,9593,92,5234890,3189000,9,703973700,Overstock
P005,PUN001,262,89,76,436,108488,B10,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,05/11/2020,Pune Distribution,Pune,Maharashtra,West,Regional,38750 sqft,Yes,6114,74,4389120,2654000,8,688898800,Overstock
P005,CHN001,172,68,40,336,114267,E05,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,05/11/2020,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,41890 sqft,Yes,7922,81,4567780,2739000,8,725595450,Overstock
P005,HYD001,178,62,51,341,112865,C13,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,05/11/2020,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,36210 sqft,No,4390,57,3102455,1887000,7,716692750,Overstock
