product_id,product_name,category,total_quantity_sold,total_orders,total_sales_value,estimated_gross_profit,slow_moving_rank
P024,Track Roller TR-60,Undercarriage,44022,3762,453426600,127663800,1
P013,Seal Kit SK-15,Seals,44081,3783,63917450,22040500,2
P023,Idler Wheel IW-55,Undercarriage,44437,3754,575459150,166638750,3
P026,Grease Cartridge GC-5,Lubricants,44844,3823,13901640,5829720,4
P009,Starter Motor SM-700,Electrical,44946,3784,669695400,155063700,5
P005,Fuel Injector FI-220,Engine,45026,3840,380469700,94554600,6
P018,Wheel Rim WR-24,Undercarriage,45027,3839,508805100,139583700,7
P014,Transmission Assembly TA-800,Transmission,45035,3838,3760422500,675525000,8
P015,Engine Block EB-600,Engine,45222,3773,5381418000,1062717000,9
P020,Pivot Pin PP-12,Pins & Bushes,45340,3823,52141000,18136000,10
P002,Engine Oil Filter OF-90,Filters,45342,3861,32646240,12242340,11
P008,Bucket Tooth BT-10,Attachments,45376,3860,26318080,10890240,12
P001,Hydraulic Pump HP-300,Hydraulic,45389,3854,1112030500,251908950,13
P004,Track Chain TC-45,Undercarriage,45575,3781,1813885000,332697500,14
P017,Fan Belt FB-30,Belts,45578,3913,23700560,9115600,15
P025,Cabin Glass CG-20,Cabin,45598,3853,357944300,102595500,16
P027,O-Ring Set OR-50,Seals,45678,3860,21925440,10049160,17
P003,Air Filter AF-120,Filters,45684,3895,57105000,19644120,18
P022,Control Valve CV-75,Hydraulic,45819,3892,774341100,187857900,19
P030,Fuel Pump FP-350,Engine,45897,3856,1005144300,252433500,20
P019,Swing Motor SWM-350,Hydraulic,45971,3849,1829645800,395350600,21
P012,Brake Pad BP-40,Brakes,45972,3883,112631400,29881800,22
P028,Light Assembly LA-18,Electrical,46164,3917,103869000,36931200,23
P016,Radiator RD-250,Cooling,46306,3934,472321200,111134400,24
P021,Boom Cylinder BC-400,Hydraulic,46364,3873,2142016800,491458400,25
P007,Hydraulic Hose HH-60,Hydraulic,46468,3906,67378600,21839960,26
P011,Hydraulic Cylinder HC-200,Hydraulic,46612,3982,1286491200,284333200,27
P006,Alternator ALT-500,Electrical,46731,3936,523387200,119164050,28
P010,Turbocharger TB-900,Engine,46964,3933,1639043600,281784000,29
P029,Pressure Sensor PS-90,Sensors,47066,3882,185910700,56479200,30
