product_id,product_name,category,total_quantity_sold,total_sales_value,estimated_gross_profit,margin_percentage,total_inventory_value,total_current_stock,abc_class,inventory_turnover,sales_value_rank,profit_rank
P015,Engine Block EB-600,Engine,45222,5381418000,1062717000,24.6,60411676500,632583,A,0.07148785218698574,1,1
P014,Transmission Assembly TA-800,Transmission,45035,3760422500,675525000,21.8,45323915500,661663,A,0.06806334946944291,2,2
P021,Boom Cylinder BC-400,Hydraulic,46364,2142016800,491458400,29.8,22449965200,630617,A,0.0735216462607256,3,3
P019,Swing Motor SWM-350,Hydraulic,45971,1829645800,395350600,27.6,19414168800,622249,A,0.0738787848594373,4,4
P004,Track Chain TC-45,Undercarriage,45575,1813885000,332697500,22.5,20763665000,638882,A,0.07133555179203671,5,5
P010,Turbocharger TB-900,Engine,46964,1639043600,281784000,20.8,19110067200,661248,A,0.07102327719705769,6,7
P011,Hydraulic Cylinder HC-200,Hydraulic,46612,1286491200,284333200,28.4,13983363500,650389,A,0.07166787876178718,7,6
P001,Hydraulic Pump HP-300,Hydraulic,45389,1112030500,251908950,29.2,12203496800,643984,A,0.07048156475937291,8,9
P030,Fuel Pump FP-350,Engine,45897,1005144300,252433500,33.5,10369556000,632290,A,0.07258852741621724,9,8
P022,Control Valve CV-75,Hydraulic,45819,774341100,187857900,32.0,8286054400,647348,B,0.07077954979392846,10,10
P009,Starter Motor SM-700,Electrical,44946,669695400,155063700,30.1,7235724450,631941,B,0.07112372832273899,11,12
P023,Idler Wheel IW-55,Undercarriage,44437,575459150,166638750,40.8,6085984000,661520,B,0.06717408392792357,12,11
P006,Alternator ALT-500,Electrical,46731,523387200,119164050,29.5,5597882100,647154,B,0.0722100149268953,13,15
P018,Wheel Rim WR-24,Undercarriage,45027,508805100,139583700,37.8,5333731000,650455,B,0.06922385099661006,14,13
P016,Radiator RD-250,Cooling,46306,472321200,111134400,30.8,4944888000,633960,B,0.07304246324689255,15,16
P024,Track Roller TR-60,Undercarriage,44022,453426600,127663800,39.2,4855791200,656188,B,0.06708748102677892,16,14
P005,Fuel Injector FI-220,Engine,45026,380469700,94554600,33.0,4183507000,658820,C,0.0683434018396527,17,18
P025,Cabin Glass CG-20,Cabin,45598,357944300,102595500,40.2,3649973600,651781,C,0.06995908134787605,18,17
P029,Pressure Sensor PS-90,Sensors,47066,185910700,56479200,43.6,1746189500,634978,C,0.07412225305443654,19,19
P012,Brake Pad BP-40,Brakes,45972,112631400,29881800,36.1,1193592600,663107,C,0.0693281778053919,20,21
P028,Light Assembly LA-18,Electrical,46164,103869000,36931200,55.2,905156700,624246,C,0.0739516152286118,21,20
P007,Hydraulic Hose HH-60,Hydraulic,46468,67378600,21839960,48.0,643686540,656823,C,0.07074660905601661,22,23
P013,Seal Kit SK-15,Seals,44081,63917450,22040500,52.6,602851000,634580,C,0.06946484288820952,23,22
P003,Air Filter AF-120,Filters,45684,57105000,19644120,52.4,533094300,650115,C,0.07027064442444798,24,24
P020,Pivot Pin PP-12,Pins & Bushes,45340,52141000,18136000,53.3,468949500,625266,C,0.07251313840829343,25,25
P002,Engine Oil Filter OF-90,Filters,45342,32646240,12242340,37.3,294755400,655012,C,0.06922315927036451,26,26
P008,Bucket Tooth BT-10,Attachments,45376,26318080,10890240,70.6,212395960,624694,C,0.07263716315508073,27,27
P017,Fan Belt FB-30,Belts,45578,23700560,9115600,62.5,210901120,659066,C,0.06915544118494961,28,29
P027,O-Ring Set OR-50,Seals,45678,21925440,10049160,84.6,164057660,630991,C,0.07239088988590962,29,28
P026,Grease Cartridge GC-5,Lubricants,44844,13901640,5829720,72.2,113636880,631316,C,0.07103257322798726,30,30
