kpi_category,kpi_name,kpi_value,unit,source_analysis,display_value
Product & Inventory,Total Units Sold,1234939.0,units,product_performance_analysis,"1,234,939"
Product & Inventory,Total Product Sales Revenue,22958987430.0,currency,product_performance_analysis,"22,958,987,430"
Product & Inventory,Products Analysed,30.0,products,product_performance_analysis,30
Product & Inventory,Fast-Moving Products,8.0,products,fast_moving_products,8
Product & Inventory,Slow/Dead Stock Products,8.0,products,slow_moving_dead_stock_analysis,8
Warehouse,Warehouses Analysed,6.0,warehouses,warehouse_space_utilisation,6
Warehouse,Warehouse Capacity Records,6.0,records,warehouse_capacity_analysis,6
Warehouse,Total Warehouse Capacity,226080.0,sqft,warehouse_space_utilisation,"226,080"
Supplier,Average Supplier Score,57.14,score,supplier_overall_performance_risk_scorecard,57.14
Supplier,Suppliers Analysed,8.0,suppliers,supplier_overall_performance_risk_scorecard,8
Supplier,Total Procurement Spend,346621977539.14,currency,supplier_procurement_spend_cost_analysis,"346,621,977,539"
Supplier,Average Procurement Risk Score,55.44,score,supplier_quality_procurement_risk_analysis,55.44
Customer,Customers Analysed,500.0,customers,customer_rfm_segmentation_analysis,500
Customer,Average Customer Lifetime Value,50206758.8,currency,customer_lifetime_value_analysis,"50,206,759"
