product_id,product_name,category,total_quantity_sold,total_sales_value,cogs,estimated_gross_profit,margin_percentage,estimated_profit_margin_pct,profit_rank
P015,Engine Block EB-600,Engine,45222,5381418000,4318701000,1062717000,24.6,19.747899159663866,1
P014,Transmission Assembly TA-800,Transmission,45035,3760422500,3084897500,675525000,21.8,17.964071856287426,2
P021,Boom Cylinder BC-400,Hydraulic,46364,2142016800,1650558400,491458400,29.8,22.943722943722943,3
P019,Swing Motor SWM-350,Hydraulic,45971,1829645800,1434295200,395350600,27.6,21.608040201005025,4
P004,Track Chain TC-45,Undercarriage,45575,1813885000,1481187500,332697500,22.5,18.341708542713565,5
P011,Hydraulic Cylinder HC-200,Hydraulic,46612,1286491200,1002158000,284333200,28.4,22.10144927536232,6
P010,Turbocharger TB-900,Engine,46964,1639043600,1357259600,281784000,20.8,17.191977077363894,7
P030,Fuel Pump FP-350,Engine,45897,1005144300,752710800,252433500,33.5,25.11415525114155,8
P001,Hydraulic Pump HP-300,Hydraulic,45389,1112030500,860121550,251908950,29.2,22.653061224489797,9
P022,Control Valve CV-75,Hydraulic,45819,774341100,586483200,187857900,32.0,24.2603550295858,10
P023,Idler Wheel IW-55,Undercarriage,44437,575459150,408820400,166638750,40.8,28.957528957528954,11
P009,Starter Motor SM-700,Electrical,44946,669695400,514631700,155063700,30.1,23.154362416107382,12
P018,Wheel Rim WR-24,Undercarriage,45027,508805100,369221400,139583700,37.8,27.43362831858407,13
P024,Track Roller TR-60,Undercarriage,44022,453426600,325762800,127663800,39.2,28.155339805825243,14
P006,Alternator ALT-500,Electrical,46731,523387200,404223150,119164050,29.5,22.767857142857142,15
P016,Radiator RD-250,Cooling,46306,472321200,361186800,111134400,30.8,23.52941176470588,16
P025,Cabin Glass CG-20,Cabin,45598,357944300,255348800,102595500,40.2,28.662420382165603,17
P005,Fuel Injector FI-220,Engine,45026,380469700,285915100,94554600,33.0,24.85207100591716,18
P029,Pressure Sensor PS-90,Sensors,47066,185910700,129431500,56479200,43.6,30.37974683544304,19
P028,Light Assembly LA-18,Electrical,46164,103869000,66937800,36931200,55.2,35.55555555555556,20
P012,Brake Pad BP-40,Brakes,45972,112631400,82749600,29881800,36.1,26.53061224489796,21
P013,Seal Kit SK-15,Seals,44081,63917450,41876950,22040500,52.6,34.48275862068966,22
P007,Hydraulic Hose HH-60,Hydraulic,46468,67378600,45538640,21839960,48.0,32.41379310344827,23
P003,Air Filter AF-120,Filters,45684,57105000,37460880,19644120,52.4,34.4,24
P020,Pivot Pin PP-12,Pins & Bushes,45340,52141000,34005000,18136000,53.3,34.78260869565217,25
P002,Engine Oil Filter OF-90,Filters,45342,32646240,20403900,12242340,37.3,37.5,26
P008,Bucket Tooth BT-10,Attachments,45376,26318080,15427840,10890240,70.6,41.37931034482759,27
P027,O-Ring Set OR-50,Seals,45678,21925440,11876280,10049160,84.6,45.83333333333333,28
P017,Fan Belt FB-30,Belts,45578,23700560,14584960,9115600,62.5,38.46153846153847,29
P026,Grease Cartridge GC-5,Lubricants,44844,13901640,8071920,5829720,72.2,41.935483870967744,30
