product_id,branch_id,opening_stock,reorder_level_x,safety_stock_x,max_stock,current_stock,warehouse_bin,inventory_value,product_name,category,criticality_level,usage_frequency,reorder_level_y,safety_stock_y,max_stock_level,stock_health_status
P001,DEL001,196,59,46,340,115928,C15,2196835600,Hydraulic Pump HP-300,Hydraulic,High,Medium,15,10,40,Overstock
P001,PUN001,198,70,43,349,109389,D16,2072921550,Hydraulic Pump HP-300,Hydraulic,High,Medium,15,10,40,Overstock
P001,CHN001,187,62,44,311,99373,A11,1883118350,Hydraulic Pump HP-300,Hydraulic,High,Medium,15,10,40,Overstock
P001,HYD001,226,71,65,417,108772,A10,2061229400,Hydraulic Pump HP-300,Hydraulic,High,Medium,15,10,40,Overstock
P001,KOL001,263,94,58,475,103808,F03,1967161600,Hydraulic Pump HP-300,Hydraulic,High,Medium,15,10,40,Overstock
P001,AHM001,236,77,53,455,106714,C20,2022230300,Hydraulic Pump HP-300,Hydraulic,High,Medium,15,10,40,Overstock
P002,DEL001,166,57,35,261,108628,A06,48882600,Engine Oil Filter OF-90,Filters,Medium,High,80,40,200,Overstock
P002,PUN001,113,41,27,180,101623,E01,45730350,Engine Oil Filter OF-90,Filters,Medium,High,80,40,200,Overstock
P002,CHN001,267,102,76,465,105885,B04,47648250,Engine Oil Filter OF-90,Filters,Medium,High,80,40,200,Overstock
P002,HYD001,219,78,64,383,121013,A02,54455850,Engine Oil Filter OF-90,Filters,Medium,High,80,40,200,Overstock
P002,KOL001,288,105,73,511,107584,F18,48412800,Engine Oil Filter OF-90,Filters,Medium,High,80,40,200,Overstock
P002,AHM001,102,36,27,179,110279,E04,49625550,Engine Oil Filter OF-90,Filters,Medium,High,80,40,200,Overstock
P003,DEL001,113,44,31,190,104884,B07,86004880,Air Filter AF-120,Filters,Medium,High,60,30,150,Overstock
P003,PUN001,218,72,44,359,118139,F09,96873980,Air Filter AF-120,Filters,Medium,High,60,30,150,Overstock
P003,CHN001,191,62,39,365,107840,C09,88428800,Air Filter AF-120,Filters,Medium,High,60,30,150,Overstock
