product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,stock_surplus,stock_gap_to_reorder,stock_status,product_name,category,criticality_level,usage_frequency,unit_cost,inventory_value
P001,DEL001,196,59,46,340,115928,C15,115588,115869,Overstock,Hydraulic Pump HP-300,Hydraulic,High,Medium,18950,2196835600
P001,PUN001,198,70,43,349,109389,D16,109040,109319,Overstock,Hydraulic Pump HP-300,Hydraulic,High,Medium,18950,2072921550
P001,CHN001,187,62,44,311,99373,A11,99062,99311,Overstock,Hydraulic Pump HP-300,Hydraulic,High,Medium,18950,1883118350
P001,HYD001,226,71,65,417,108772,A10,108355,108701,Overstock,Hydraulic Pump HP-300,Hydraulic,High,Medium,18950,2061229400
P001,KOL001,263,94,58,475,103808,F03,103333,103714,Overstock,Hydraulic Pump HP-300,Hydraulic,High,Medium,18950,1967161600
P001,AHM001,236,77,53,455,106714,C20,106259,106637,Overstock,Hydraulic Pump HP-300,Hydraulic,High,Medium,18950,2022230300
P002,DEL001,166,57,35,261,108628,A06,108367,108571,Overstock,Engine Oil Filter OF-90,Filters,Medium,High,450,48882600
P002,PUN001,113,41,27,180,101623,E01,101443,101582,Overstock,Engine Oil Filter OF-90,Filters,Medium,High,450,45730350
P002,CHN001,267,102,76,465,105885,B04,105420,105783,Overstock,Engine Oil Filter OF-90,Filters,Medium,High,450,47648250
P002,HYD001,219,78,64,383,121013,A02,120630,120935,Overstock,Engine Oil Filter OF-90,Filters,Medium,High,450,54455850
P002,KOL001,288,105,73,511,107584,F18,107073,107479,Overstock,Engine Oil Filter OF-90,Filters,Medium,High,450,48412800
P002,AHM001,102,36,27,179,110279,E04,110100,110243,Overstock,Engine Oil Filter OF-90,Filters,Medium,High,450,49625550
P003,DEL001,113,44,31,190,104884,B07,104694,104840,Overstock,Air Filter AF-120,Filters,Medium,High,820,86004880
P003,PUN001,218,72,44,359,118139,F09,117780,118067,Overstock,Air Filter AF-120,Filters,Medium,High,820,96873980
P003,CHN001,191,62,39,365,107840,C09,107475,107778,Overstock,Air Filter AF-120,Filters,Medium,High,820,88428800
P003,HYD001,272,95,72,422,106658,E12,106236,106563,Overstock,Air Filter AF-120,Filters,Medium,High,820,87459560
P003,KOL001,234,80,52,386,110093,D02,109707,110013,Overstock,Air Filter AF-120,Filters,Medium,High,820,90276260
P003,AHM001,238,82,48,475,102501,C06,102026,102419,Overstock,Air Filter AF-120,Filters,Medium,High,820,84050820
P004,DEL001,172,57,35,267,110145,A14,109878,110088,Overstock,Track Chain TC-45,Undercarriage,High,Low,32500,3579712500
P004,PUN001,171,55,37,265,104859,E16,104594,104804,Overstock,Track Chain TC-45,Undercarriage,High,Low,32500,3407917500
P004,CHN001,171,58,41,339,103984,A15,103645,103926,Overstock,Track Chain TC-45,Undercarriage,High,Low,32500,3379480000
P004,HYD001,193,62,49,363,109943,D18,109580,109881,Overstock,Track Chain TC-45,Undercarriage,High,Low,32500,3573147500
P004,KOL001,115,44,33,187,110042,B06,109855,109998,Overstock,Track Chain TC-45,Undercarriage,High,Low,32500,3576365000
P004,AHM001,273,104,77,430,99909,C08,99479,99805,Overstock,Track Chain TC-45,Undercarriage,High,Low,32500,3247042500
P005,DEL001,242,94,63,463,110862,E03,110399,110768,Overstock,Fuel Injector FI-220,Engine,High,Medium,6350,703973700
P005,PUN001,262,89,76,436,108488,B10,108052,108399,Overstock,Fuel Injector FI-220,Engine,High,Medium,6350,688898800
P005,CHN001,172,68,40,336,114267,E05,113931,114199,Overstock,Fuel Injector FI-220,Engine,High,Medium,6350,725595450
P005,HYD001,178,62,51,341,112865,C13,112524,112803,Overstock,Fuel Injector FI-220,Engine,High,Medium,6350,716692750
P005,KOL001,215,83,43,357,104202,B19,103845,104119,Overstock,Fuel Injector FI-220,Engine,High,Medium,6350,661682700
P005,AHM001,106,37,29,175,108136,B06,107961,108099,Overstock,Fuel Injector FI-220,Engine,High,Medium,6350,686663600
P006,DEL001,131,43,26,234,99358,B09,99124,99315,Overstock,Alternator ALT-500,Electrical,High,Medium,8650,859446700
P006,PUN001,210,69,43,356,111016,F02,110660,110947,Overstock,Alternator ALT-500,Electrical,High,Medium,8650,960288400
P006,CHN001,119,41,31,181,110681,D03,110500,110640,Overstock,Alternator ALT-500,Electrical,High,Medium,8650,957390650
P006,HYD001,275,84,62,472,109564,F19,109092,109480,Overstock,Alternator ALT-500,Electrical,High,Medium,8650,947728600
P006,KOL001,105,33,28,181,109176,B13,108995,109143,Overstock,Alternator ALT-500,Electrical,High,Medium,8650,944372400
P006,AHM001,170,62,43,291,107359,A01,107068,107297,Overstock,Alternator ALT-500,Electrical,High,Medium,8650,928655350
P007,DEL001,205,79,59,383,119439,C04,119056,119360,Overstock,Hydraulic Hose HH-60,Hydraulic,Medium,High,980,117050220
P007,PUN001,231,72,58,459,110464,C08,110005,110392,Overstock,Hydraulic Hose HH-60,Hydraulic,Medium,High,980,108254720
P007,CHN001,230,77,46,434,108692,E17,108258,108615,Overstock,Hydraulic Hose HH-60,Hydraulic,Medium,High,980,106518160
P007,HYD001,298,93,61,548,112543,C16,111995,112450,Overstock,Hydraulic Hose HH-60,Hydraulic,Medium,High,980,110292140
P007,KOL001,273,93,62,438,99463,C03,99025,99370,Overstock,Hydraulic Hose HH-60,Hydraulic,Medium,High,980,97473740
P007,AHM001,146,50,38,267,106222,C13,105955,106172,Overstock,Hydraulic Hose HH-60,Hydraulic,Medium,High,980,104097560
P008,DEL001,298,116,69,572,106667,C16,106095,106551,Overstock,Bucket Tooth BT-10,Attachments,Low,High,340,36266780
P008,PUN001,86,33,17,147,99151,D12,99004,99118,Overstock,Bucket Tooth BT-10,Attachments,Low,High,340,33711340
P008,CHN001,265,104,75,477,108381,A08,107904,108277,Overstock,Bucket Tooth BT-10,Attachments,Low,High,340,36849540
P008,HYD001,270,93,75,467,101753,A08,101286,101660,Overstock,Bucket Tooth BT-10,Attachments,Low,High,340,34596020
P008,KOL001,135,43,30,262,99461,D04,99199,99418,Overstock,Bucket Tooth BT-10,Attachments,Low,High,340,33816740
P008,AHM001,259,85,57,430,109281,D10,108851,109196,Overstock,Bucket Tooth BT-10,Attachments,Low,High,340,37155540
P009,DEL001,147,57,32,261,102816,D10,102555,102759,Overstock,Starter Motor SM-700,Electrical,High,Medium,11450,1177243200
P009,PUN001,186,56,37,345,111320,F09,110975,111264,Overstock,Starter Motor SM-700,Electrical,High,Medium,11450,1274614000
P009,CHN001,226,89,53,387,111456,D11,111069,111367,Overstock,Starter Motor SM-700,Electrical,High,Medium,11450,1276171200
P009,HYD001,282,101,82,436,100071,D03,99635,99970,Overstock,Starter Motor SM-700,Electrical,High,Medium,11450,1145812950
P009,KOL001,104,35,25,201,110547,E10,110346,110512,Overstock,Starter Motor SM-700,Electrical,High,Medium,11450,1265763150
P009,AHM001,183,61,44,333,95731,B15,95398,95670,Overstock,Starter Motor SM-700,Electrical,High,Medium,11450,1096119950
P010,DEL001,133,43,37,220,106895,D11,106675,106852,Overstock,Turbocharger TB-900,Engine,High,Medium,28900,3089265500
P010,PUN001,159,48,45,267,114565,D20,114298,114517,Overstock,Turbocharger TB-900,Engine,High,Medium,28900,3310928500
P010,CHN001,120,44,29,191,113425,B09,113234,113381,Overstock,Turbocharger TB-900,Engine,High,Medium,28900,3277982500
P010,HYD001,171,62,46,307,110225,F12,109918,110163,Overstock,Turbocharger TB-900,Engine,High,Medium,28900,3185502500
P010,KOL001,179,61,46,294,100989,A13,100695,100928,Overstock,Turbocharger TB-900,Engine,High,Medium,28900,2918582100
P010,AHM001,128,43,27,245,115149,C09,114904,115106,Overstock,Turbocharger TB-900,Engine,High,Medium,28900,3327806100
P011,DEL001,243,85,64,369,112300,B01,111931,112215,Overstock,Hydraulic Cylinder HC-200,Hydraulic,High,Medium,21500,2414450000
