product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,machine_type,brand,weight_kg,dimensions_cm,criticality_level,usage_frequency,unit_cost,branch_name,warehouse_type,warehouse_capacity,market_demand_index,inventory_value,total_stock_weight_kg,length_cm,width_cm,height_cm,unit_footprint_sqft,occupied_footprint_sqft,stock_share_pct
P015,CHN001,239,91,57,370,113851,C20,Engine Block EB-600,Engine,Excavator,Komatsu,320.0,160x70x65,High,Low,95500,Chennai South Hub,Regional,41890 sqft,8,10872770500,36432320.0,160,70,65,12.05557966671489,1372539.800635157,3.5201724049971475
P015,HYD001,149,56,43,226,110035,A16,Engine Block EB-600,Engine,Excavator,Komatsu,320.0,160x70x65,High,Low,95500,Hyderabad Logistics,Branch,36210 sqft,7,10508342500,35211200.0,160,70,65,12.05557966671489,1326535.7086269727,3.3906050335701794
P015,PUN001,134,43,34,210,106048,A13,Engine Block EB-600,Engine,Excavator,Komatsu,320.0,160x70x65,High,Low,95500,Pune Distribution,Regional,38750 sqft,8,10127584000,33935360.0,160,70,65,12.05557966671489,1278470.1124957807,3.2567393972784138
P015,AHM001,85,28,24,131,105135,A13,Engine Block EB-600,Engine,Excavator,Komatsu,320.0,160x70x65,High,Low,95500,Ahmedabad West Hub,Service Hub,34120 sqft,7,10040392500,33643200.0,160,70,65,12.05557966671489,1267463.36826007,3.3323380851678865
P015,DEL001,223,75,60,387,100967,E12,Engine Block EB-600,Engine,Excavator,Komatsu,320.0,160x70x65,High,Low,95500,Delhi Central,Central,45230 sqft,9,9642348500,32309440.0,160,70,65,12.05557966671489,1217215.712209202,3.07014689829019
P015,KOL001,292,116,81,508,96547,B18,Engine Block EB-600,Engine,Excavator,Komatsu,320.0,160x70x65,High,Low,95500,Kolkata East Depot,Branch,29880 sqft,6,9220238500,30895040.0,160,70,65,12.05557966671489,1163930.0500823224,3.0906858782798543
P014,CHN001,157,60,40,303,114302,F14,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,260.0,190x60x55,High,Low,68500,Chennai South Hub,Regional,41890 sqft,8,7829687000,29718520.0,190,60,55,12.270857875049083,1402583.5968338603,3.5341169268252717
P014,PUN001,87,33,20,164,113386,E17,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,260.0,190x60x55,High,Low,68500,Pune Distribution,Regional,38750 sqft,8,7766941000,29480360.0,190,60,55,12.270857875049083,1391343.4910203153,3.482089745207927
P014,DEL001,203,72,44,384,111321,B15,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,260.0,190x60x55,High,Low,68500,Delhi Central,Central,45230 sqft,9,7625488500,28943460.0,190,60,55,12.270857875049083,1366004.169508339,3.384985419637726
P014,HYD001,200,71,50,377,111315,C17,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,260.0,190x60x55,High,Low,68500,Hyderabad Logistics,Branch,36210 sqft,7,7625077500,28941900.0,190,60,55,12.270857875049083,1365930.5443610887,3.4300467970360744
